"player_id","pfr_id","player_name","recent_team","position","games","fantasy_points_ppr","season","ppr_per_game","ppr_rank","ppr_finish_12","ppr_finish_24","ppr_finish_36","ppr_finish_48","ppr_finish_3","ppr_finish_6"
"00-0017322","WattRi00","R.Watters","SEA","RB",16,295.1,2000,18.44375,7,1,1,1,1,0,0
"00-0000745","BarbTi00","T.Barber","NYG","RB",16,287.8,2000,17.9875,8,1,1,1,1,0,0
"00-0015286","SmitRo00","R.Smith","MIN","RB",16,279.3,2000,17.45625,9,1,1,1,1,0,0
"00-0016098","TaylFr00","F.Taylor","JAX","RB",13,276.3,2000,21.2538461538462,10,1,1,1,1,0,0
"00-0019594","AndeMi00","M.Anderson","DEN","RB",14,275,2000,19.6428571428571,11,1,1,1,1,0,0
"00-0004052","DaviSt00","S.Davis","WAS","RB",15,251.5,2000,16.7666666666667,12,1,1,1,1,0,0
"00-0004640","DunnWa00","W.Dunn","TB","RB",16,247.9,2000,15.49375,13,0,1,1,1,0,0
"00-0015242","SmitLa00","L.Smith","MIA","RB",14,241.3,2000,17.2357142857143,14,0,1,1,1,0,0
"00-0017915","WillRi00","R.Williams","NO","RB",10,231.16,2000,23.116,15,0,1,1,1,0,0
"00-0013013",NA,"M.Pittman","ARI","RB",16,229.5,2000,14.34375,16,0,1,1,1,0,0
"00-0019693","LewiJa00","J.Lewis","BAL","RB",16,224.4,2000,14.025,17,0,1,1,1,0,0
"00-0000316","AndeJa00","J.Anderson","ATL","RB",16,209.8,2000,13.1125,18,0,1,1,1,0,0
"00-0017486",NA,"T.Wheatley","LV","RB",14,192.9,2000,13.7785714285714,19,0,1,1,1,0,0
"00-0000210",NA,"J.Allen","CHI","RB",16,188.7,2000,11.79375,20,0,1,1,1,0,0
"00-0015165","SmitEm00","E.Smith","DAL","RB",16,182.6,2000,11.4125,21,0,1,1,1,0,0
"00-0005091","FaulKe00","K.Faulk","NE","RB",15,178.5,2000,11.9,22,0,1,1,1,0,0
