season,gsis_id,player_name,position,category,rank,points,finish_3,finish_6,finish_12,finish_24,finish_36,finish_48
2016,00-0032450,Dwayne Washington,RB,fantasy_points_ppr,71,48.7,0,0,0,0,0,0
2016,00-0026739,Jordan Norwood,WR,fantasy_points_ppr,110,48.2,0,0,0,0,0,0
2016,00-0031697,Jordan Taylor,WR,fantasy_points_ppr,111,46.9,0,0,0,0,0,0
2016,00-0024226,Jay Cutler,QB,fantasy_points_ppr,39,46.76,0,0,0,0,0,1
2016,00-0032355,Chester Rogers,WR,fantasy_points_ppr,112,46.3,0,0,0,0,0,0
2016,00-0028263,Andre Holmes,WR,fantasy_points_ppr,113,44.6,0,0,0,0,0,0
2016,00-0032626,Geronimo Allison,WR,fantasy_points_ppr,114,44.2,0,0,0,0,0,0
2016,00-0030155,Demetrius Harris,TE,fantasy_points_ppr,47,43.3,0,0,0,0,0,1
2016,00-0030113,Charles D. Johnson,WR,fantasy_points_ppr,115,43.2,0,0,0,0,0,0
2016,00-0030514,Mychal Rivera,TE,fantasy_points_ppr,48,43.2,0,0,0,0,0,1
2016,00-0024243,Marcedes Lewis,TE,fantasy_points_ppr,49,42.9,0,0,0,0,0,0
2016,00-0030485,Eddie Lacy,RB,fantasy_points_ppr,72,42.8,0,0,0,0,0,0
2016,00-0029384,Bobby Rainey,RB,fantasy_points_ppr,73,41.6,0,0,0,0,0,0
2016,00-0026983,Darrius Heyward-Bey,WR,fantasy_points_ppr,116,41.4,0,0,0,0,0,0
2016,00-0032139,Ben Koyack,TE,fantasy_points_ppr,50,41.1,0,0,0,0,0,0
2016,00-0030990,Josh Huff,WR,fantasy_points_ppr,117,40.8,0,0,0,0,0,0
2016,00-0027690,Eric Decker,WR,fantasy_points_ppr,118,40.4,0,0,0,0,0,0
2016,00-0029141,Alfred Morris,RB,fantasy_points_ppr,74,40.4,0,0,0,0,0,0
2016,00-0032694,Jalin Marshall,WR,fantasy_points_ppr,119,40.2,0,0,0,0,0,0
2016,00-0030089,Luke Willson,TE,fantasy_points_ppr,51,39.9,0,0,0,0,0,0
