"mfl_id","player_name","gsis_id","team","pfr_id"
15837,"Lewis Cine",NA,"MIN","CineLe00"
15838,"Verone McKinley",NA,"MIA","McKiVe00"
15839,"Nick Cross",NA,"IND","CrosNi00"
15840,"Jelani Woods","00-0037755","IND","WoodJe01"
15841,"Samori Toure","00-0037098","GBP","TourSa00"
15844,"Devon Allen","00-0037039","PHI","AlleDe02"
15845,"Trent McDuffie",NA,"KCC","McDuTr00"
15846,"Quay Walker","00-0037074","GBP","WalkQu00"
15847,"Kaiir Elam",NA,"BUF","ElamKa00"
15849,"Roger McCreary",NA,"TEN","McCrRo01"
15850,"Jalen Pitre",NA,"HOU","PitrJa00"
15851,"Arnold Ebiketie","00-0038116","ATL","EbikAr00"
15852,"Kyler Gordon",NA,"CHI","GordKy00"
15853,"Boye Mafe",NA,"SEA","MafeBo00"
15854,"Andrew Booth",NA,"MIN","BootAn00"
15855,"Josh Paschal",NA,"DET","PascJo00"
15856,"Alontae Taylor",NA,"NOS","TaylAl01"
15857,"Sam Williams",NA,"DAL","WillSa00"
15858,"Troy Andersen","00-0037810","ATL","AndeTr00"
15859,"Cam Taylor-Britt",NA,"CIN","TaylCa01"
15860,"Bryan Cook",NA,"KCC","CookBr02"
15861,"Nik Bonitto","00-0037249","DEN","BoniNi00"
15862,"Martin Emerson",NA,"CLE","EmerMa00"
